ticker,date,node,px,short_pnl_pct,below_hod_pct,vs_vwap_pct,vwap_slope15,below_open,made_new_hod,mae_pct,dist_to_pm_high_pct,fwd_to_low_pct,fwd_30min_pct,eod_close_pct,setup,grade,cap
CLOV,2021-06-09,11:30,18.93,32.39,-34.38,-17.17,-1.19,True,False,3.04,-33.13,11.26,3.87,10.36,3DGapFade,A,Medium
CLOV,2021-06-09,12:00,18.2,35.0,-36.92,-18.42,-1.5,True,False,3.04,-35.71,7.69,-5.16,6.76,3DGapFade,A,Medium
CLOV,2021-06-09,13:00,20.47,26.89,-29.04,-6.12,-0.36,True,False,3.04,-27.69,17.93,6.04,17.1,3DGapFade,A,Medium
CLOV,2021-06-09,14:00,19.18,31.5,-33.51,-11.25,-0.18,True,False,3.04,-32.25,12.41,1.0,11.53,3DGapFade,A,Medium
CLOV,2021-06-09,15:00,18.89,32.54,-34.52,-12.0,-0.2,True,False,3.04,-33.27,11.06,8.21,10.16,3DGapFade,A,Medium
CLOV,2021-06-09,15:45,16.96,39.43,-41.21,-19.89,-0.46,True,False,3.04,-40.09,0.94,-0.06,-0.06,3DGapFade,A,Medium
CEI,2022-03-08,09:30,81.0,2.99,-4.14,-1.02,,True,False,1.2,-8.47,38.27,2.78,23.49,3DGapFade,B,Micro
CEI,2022-03-08,09:45,91.5,-9.58,-7.58,3.33,8.21,False,True,18.56,3.39,45.36,13.11,32.27,3DGapFade,B,Micro
CEI,2022-03-08,10:00,78.75,5.69,-20.45,-10.72,-0.4,True,True,18.56,-11.02,36.51,-6.66,21.31,3DGapFade,B,Micro
CEI,2022-03-08,10:30,84.0,-0.59,-15.16,-2.16,-0.73,False,True,18.56,-5.09,40.47,-0.05,26.22,3DGapFade,B,Micro
CEI,2022-03-08,11:00,84.04,-0.64,-15.12,-2.17,-0.16,False,True,18.56,-5.05,40.5,-0.98,26.26,3DGapFade,B,Micro
CEI,2022-03-08,11:30,84.86,-1.62,-14.29,-1.35,0.12,False,True,18.56,-4.12,41.08,5.74,26.97,3DGapFade,B,Micro
CEI,2022-03-08,12:00,79.98,4.21,-19.21,-6.6,-0.35,True,True,18.56,-9.62,37.49,33.43,22.52,3DGapFade,B,Micro
CEI,2022-03-08,13:00,63.98,23.37,-35.37,-16.6,-1.48,True,True,18.56,-27.7,11.7,0.82,3.15,3DGapFade,B,Micro
CEI,2022-03-08,14:00,67.5,19.16,-31.82,-10.66,-0.3,True,True,18.56,-23.73,16.3,7.37,8.19,3DGapFade,B,Micro
CEI,2022-03-08,15:00,60.25,27.84,-39.14,-19.53,-0.42,True,True,18.56,-31.92,5.39,4.56,-2.85,3DGapFade,B,Micro
CEI,2022-03-08,15:45,60.96,26.99,-38.42,-18.01,-0.29,True,True,18.56,-31.11,1.58,-1.65,-1.65,3DGapFade,B,Micro
USEG,2022-03-08,09:30,10.07,-0.45,-2.18,1.61,,False,False,2.69,-6.19,37.17,-16.03,27.15,3DGapFade,C,Micro
USEG,2022-03-08,09:45,12.01,-19.74,-1.88,14.78,5.53,False,True,22.03,11.82,47.29,13.15,38.88,3DGapFade,C,Micro
USEG,2022-03-08,10:00,11.69,-16.55,-16.02,0.94,10.68,False,True,38.78,8.85,45.85,16.42,37.21,3DGapFade,C,Micro
USEG,2022-03-08,10:30,9.77,2.59,-29.81,-14.84,-1.1,True,True,38.78,-9.03,35.21,-5.32,24.87,3DGapFade,C,Micro
USEG,2022-03-08,11:00,10.29,-2.59,-26.08,-8.95,-0.57,False,True,38.78,-4.19,38.48,-7.09,28.67,3DGapFade,C,Micro
USEG,2022-03-08,11:30,11.02,-9.87,-20.83,-3.2,0.66,False,True,38.78,2.61,42.56,3.9,33.39,3DGapFade,C,Micro
USEG,2022-03-08,12:00,10.59,-5.58,-23.92,-6.9,-0.09,False,True,38.78,-1.4,40.23,26.16,30.69,3DGapFade,C,Micro
USEG,2022-03-08,13:00,7.71,23.15,-44.62,-29.02,-0.75,True,True,38.78,-28.23,14.25,-6.9,4.78,3DGapFade,C,Micro
USEG,2022-03-08,14:00,7.8,22.23,-43.96,-26.65,-0.41,True,True,38.78,-27.37,15.26,5.13,5.9,3DGapFade,C,Micro
USEG,2022-03-08,15:00,7.64,23.88,-45.15,-27.62,-0.12,True,True,38.78,-28.91,13.43,7.27,3.86,3DGapFade,C,Micro
USEG,2022-03-08,15:45,7.28,27.47,-47.74,-30.56,-0.18,True,True,38.78,-32.26,1.58,-0.89,-0.89,3DGapFade,C,Micro
USWS,2022-03-08,09:30,19.2,-0.0,-3.9,-0.83,,False,False,4.06,-18.58,55.0,9.06,44.69,3DGapFade,A,Micro
USWS,2022-03-08,09:45,16.91,11.92,-15.36,-7.71,-5.35,True,False,4.06,-28.28,48.91,16.62,37.2,3DGapFade,A,Micro
USWS,2022-03-08,10:00,17.46,9.06,-12.61,-2.58,-2.19,True,False,4.06,-25.95,50.52,9.33,39.18,3DGapFade,A,Micro
USWS,2022-03-08,10:30,15.83,17.54,-20.76,-7.9,-1.26,True,False,4.06,-32.86,45.43,1.88,32.92,3DGapFade,A,Micro
USWS,2022-03-08,11:00,15.53,19.09,-22.25,-8.83,-0.38,True,False,4.06,-34.12,44.38,0.53,31.63,3DGapFade,A,Micro
USWS,2022-03-08,11:30,15.45,19.52,-22.67,-8.4,-0.54,True,False,4.06,-34.47,44.08,16.04,31.27,3DGapFade,A,Micro
USWS,2022-03-08,12:00,12.97,32.43,-35.07,-21.38,-1.56,True,False,4.06,-44.98,33.4,24.17,18.14,3DGapFade,A,Micro
USWS,2022-03-08,13:00,11.28,41.25,-43.55,-25.75,-0.94,True,False,4.06,-52.17,11.7,1.86,5.85,3DGapFade,A,Micro
USWS,2022-03-08,14:00,10.98,42.81,-45.05,-26.38,-0.33,True,False,4.06,-53.44,4.37,-0.55,3.28,3DGapFade,A,Micro
USWS,2022-03-08,15:00,12.09,37.03,-39.49,-17.8,-0.67,True,False,4.06,-48.73,13.15,8.44,12.16,3DGapFade,A,Micro
USWS,2022-03-08,15:45,10.91,43.19,-45.41,-25.05,-0.38,True,False,4.06,-53.75,3.73,2.63,2.63,3DGapFade,A,Micro
IMPP,2022-03-08,09:30,129.75,5.26,-10.82,-3.85,,True,False,6.24,-11.28,57.11,21.71,50.87,3DGapFade,B,Micro
IMPP,2022-03-08,09:45,119.25,12.92,-18.04,-8.38,-3.55,True,False,6.24,-18.46,53.33,25.16,46.54,3DGapFade,B,Micro
IMPP,2022-03-08,10:00,101.58,25.83,-30.19,-16.43,-6.62,True,False,6.24,-30.55,45.21,8.66,37.24,3DGapFade,B,Micro
IMPP,2022-03-08,10:30,92.78,32.26,-36.24,-17.31,-3.7,True,False,6.24,-36.56,40.02,1.85,31.29,3DGapFade,B,Micro
IMPP,2022-03-08,11:00,91.06,33.51,-37.41,-16.79,-0.9,True,False,6.24,-37.74,38.89,-7.07,29.99,3DGapFade,B,Micro
IMPP,2022-03-08,11:30,97.5,28.81,-32.99,-8.7,-0.52,True,False,6.24,-33.33,42.92,5.84,34.62,3DGapFade,B,Micro
IMPP,2022-03-08,12:00,91.8,32.97,-36.91,-13.34,-0.32,True,False,6.24,-37.23,39.38,33.33,30.56,3DGapFade,B,Micro
IMPP,2022-03-08,13:00,67.5,50.71,-53.61,-28.45,-1.26,True,False,6.24,-53.85,6.22,-8.44,5.56,3DGapFade,B,Micro
IMPP,2022-03-08,14:00,76.35,44.25,-47.53,-16.45,-0.46,True,False,6.24,-47.79,17.09,4.41,16.5,3DGapFade,B,Micro
IMPP,2022-03-08,15:00,70.95,48.19,-51.24,-21.26,-0.37,True,False,6.24,-51.49,10.78,4.59,10.15,3DGapFade,B,Micro
IMPP,2022-03-08,15:45,65.07,52.49,-55.28,-26.86,-0.42,True,False,6.24,-55.51,2.71,2.02,2.02,3DGapFade,B,Micro
HUSA,2022-03-08,09:30,155.1,2.51,-6.62,-1.67,,True,False,4.4,-10.35,61.9,33.91,54.93,2DGapFade,A,Micro
