signal_date,session,target_date,ticker,bucket,cap,recommendation,score,atr_pct,entry_open,d0_pct,d1_pct,d2_pct,d3_pct,mfe_atr_d0,mfe_atr_3d,mae_atr_3d,adverse_before_fav_atr,days_to_1atr,dir_correct_d0,dir_correct_final,tradeable_d0,tradeable_3d,days_available,complete,episode_id,episode_signal_num,pct_from_9ema,pct_change_3,gap_pct,prior_day_range_atr,prior_day_rvol,premarket_rvol,selloff_total_pct,pct_off_30d_high,pct_off_52wk_high
2026-05-27,morning,2026-05-27,MU,reversal,Large,GO,5/5,0.070953,955.66,-0.028514,-0.033631,0.016052,0.083544,1.0,1.0,1.35,,,True,False,False,False,4,True,MU_reversal_2026-05-27,1,0.224712,0.223897,0.041468,1.457749,1.505916,0.0,,,
2026-05-26,evening,2026-05-27,NOK,reversal,Medium,GO,5/5,0.06002,16,-0.02,-0.045,-0.0725,0.015625,0.48,1.53,0.54,0.05,2,True,False,False,True,4,True,NOK_reversal_2026-05-27,1,0.160534,0.131675,0.056231,1.228696,1.074617,0.177249,,,
2026-05-26,evening,2026-05-27,NVTS,reversal,Medium,GO,5/5,0.09976,31.81,-0.092109,-0.103741,-0.163785,-0.218485,1.09,2.59,0.04,0.04,0,True,True,True,True,4,True,NVTS_reversal_2026-05-26,2,0.374356,0.505404,0.07094,1.628804,1.407821,0.095186,,,
2026-05-27,morning,2026-05-27,PL,reversal,Medium,GO,4/5,0.077679,50.1,0.007585,0.025948,0.020758,-0.072655,0.77,1.37,0.43,0.43,2,False,True,False,True,4,True,PL_reversal_2026-05-27,1,0.2327,0.132677,0.103477,1.272387,1.90416,0.0,,,
2026-05-27,morning,2026-05-27,QCOM,reversal,Large,GO,4/5,0.07898,245.43,-0.049016,-0.008719,0.022776,-0.066984,1.1,1.1,0.75,0.15,0,True,True,True,True,4,True,QCOM_reversal_2026-05-26,2,0.155246,0.22868,0.012378,1.115854,0.958508,0.0,,,
2026-05-26,evening,2026-05-27,RGTI,reversal,Medium,GO,4/5,0.094079,24.625,-0.000203,0.097665,0.037157,0.040812,0.43,0.43,1.28,,,True,False,False,False,4,True,RGTI_reversal_2026-05-22,3,0.224621,0.655388,-0.069833,2.216702,6.192801,0.255647,,,
2026-05-27,morning,2026-05-27,WDC,reversal,Large,GO,4/5,0.059572,538.97,-0.01553,-0.014453,-0.014398,0.013414,0.54,0.63,0.78,,,True,False,False,False,4,True,WDC_reversal_2026-05-27,1,0.096489,0.141486,0.012103,1.12604,0.944506,0.0,,,
2026-05-27,evening,2026-05-28,AMD,reversal,Large,GO,4/5,0.065459,499,0.038257,0.034269,0.022305,0.04517,0.17,0.37,0.86,,,False,False,False,False,4,True,AMD_reversal_2026-05-27,2,0.10112,0.12581,-0.013951,0.82186,0.908772,0.052584,,,
2026-05-28,morning,2026-05-28,APP,reversal,Large,GO,5/5,0.065479,562.16,0.067116,0.090597,0.091682,0.077327,0.05,0.05,1.63,,,False,False,False,False,4,True,APP_reversal_2026-05-28,1,0.138091,0.168639,0.010866,1.779427,1.726099,0.0,,,
2026-05-28,morning,2026-05-28,MU,reversal,Large,GO,4/5,0.074288,929.83,-0.006786,0.044277,0.113644,0.144403,0.36,0.36,2.12,,,True,False,False,False,4,True,MU_reversal_2026-05-27,2,0.154485,0.218226,-0.011223,0.997278,1.374044,0.0,,,
