cik,ticker_current,exchange,sic_current,sic_desc,entity_name,former_names,ann_date,ann_source,n_vote_8ks,vote_8k_date,vote_date,has_425,sic_6770_at_close,name_change_near_close,target_name,old_ticker_edgar,new_ticker_edgar,redeemed_shares,remaining_shares,redemption_pct_stated,trust_per_share,redemption_source,mentions_trust,is_spac,redemption_pct
854800,,,2000,Food and Kindred Products,"Tingo Group, Inc.","MICT, Inc.; MICRONET ENERTEC TECHNOLOGIES, INC.; LAPIS TECHNOLOGIES INC",2020-06-16,425,9,2021-12-30,2021-12-23,True,False,True,"Tingo, Inc",MICT,MICT,,,,,,False,False,
1710583,,,7370,"Services-Computer Programming, Data Processing, Etc.","Switch, Inc.",,2022-05-11,425,6,2022-08-08,2022-08-04,True,False,False,Sunshine Bidco Inc,SWCH,SWCH,,,3.75,,super8k,False,True,3.75
1813658,,,3672,Printed Circuit Boards,"Tempo Automation Holdings, Inc.",ACE Convergence Acquisition Corp.,2021-01-07,425,4,2022-11-23,2022-11-17,True,False,True,Legacy Tempo surviving the merger as,ACEV,TMPO,490000.0,,17.3,,super8k,True,True,17.3
1934064,,,3841,Surgical & Medical Instruments & Apparatus,"ProSomnus, Inc.",LAAA Merger Corp.,2022-06-29,S-4,0,,,False,False,True,"Lakeshore with ProSomnus Holdings, Inc",,OSA,2380246.0,,,10.238,super8k,True,True,
1859007,ZVSA,OTC,2834,Pharmaceutical Preparations,"ZyVersa Therapeutics, Inc.",Larkspur Health Acquisition Corp.,2022-07-22,425,1,2022-12-09,2022-12-08,True,False,True,,LSPR,ZVSA,7667029.0,,,10.17,super8k,True,True,
1839608,,,7510,Services-Auto Rental & Leasing (No Drivers),"Getaround, Inc",InterPrivate II Acquisition Corp.,2022-05-11,425,1,2022-12-08,2022-12-07,True,False,True,,IPVA,GETR,24325000.0,,,10.11,super8k,True,True,
1800392,"MLGO,VENAF","Nasdaq,OTC",7371,Services-Computer Programming Services,MicroAlgo Inc.,Venus Acquisition Corp,2022-01-24,425,2,2022-11-18,2022-11-18,True,False,True,Venus and continue its business operations,VENA,MLGO,,,74.76,,vote8k,False,True,74.76
1818787,,,6770,Blank Checks,Primavera Capital Acquisition Corp.,,2022-03-23,425,1,2022-12-12,2022-12-09,True,True,False,"March 23, 2022",PV,PV,,,,,,True,True,
1837160,,,6770,Blank Checks,COVA Acquisition Corp.,Crescent Cove Acquisition Corp.,2022-05-26,425,1,2022-12-15,2022-12-14,True,True,False,"Merger, dated May 26, 2022",COVA,,29379643.0,,,,vote8k,False,True,
1929589,,,7372,Services-Prepackaged Software,MariaDB plc,Mangomill plc,2022-06-22,S-4,0,,,False,False,True,,,MRDB,26630000.0,,,,super8k,True,True,
1745797,,,1311,Crude Petroleum & Natural Gas,MNRL Sub Inc.,"Brigham Minerals, Inc.",2022-09-06,425,4,2022-12-29,2022-12-28,True,False,True,Brigham Merger Sub with and into the Company,MNRL,MNRL,,,,,,False,False,
1678848,,,2833,Medicinal Chemicals & Botanical Products,CAMBELL INTERNATIONAL HOLDING CORP.,CAMPBELL INTERNATIONAL HOLDING CORP.; BITMIS CORP.,,,0,,,False,False,True,,,,,,,,,False,False,
1538495,ETST,OTC,2834,Pharmaceutical Preparations,"Earth Science Tech, Inc.",Ultimate Novelty Sports Inc.,,,0,,,False,False,False,,,,,,,,,False,False,
884624,OFIX,Nasdaq,3841,Surgical & Medical Instruments & Apparatus,Orthofix Medical Inc.,ORTHOFIX INTERNATIONAL N V,2022-10-11,425,15,2023-01-04,2023-01-04,True,False,False,Merger Sub continuing as the surviving entity and,OFIX,OFIX,,,,,,False,False,
1637761,,,3841,Surgical & Medical Instruments & Apparatus,SeaSpine Holdings Corp,,2022-10-11,425,9,2023-01-04,2023-01-04,True,False,False,,SPNE,SPNE,,,,,,False,False,
1825437,,,6770,Blank Checks,LIGHTJUMP ACQUISITION CORP,,2022-06-24,425,2,2022-12-28,2022-12-27,True,True,False,,LJAQ,,,,,,,True,True,
1838615,ALTI,Nasdaq,6282,Investment Advice,"AlTi Global, Inc.","Alvarium Tiedemann Holdings, Inc.; Cartesian Growth Corp",2021-09-20,425,1,2022-11-17,2022-11-17,True,False,True,"October 25, 2022",GLBU,ALTI,,,,,,True,True,
1715611,,,2834,Pharmaceutical Preparations,BODY & MIND INC.,DEPLOY TECHNOLOGIES INC,,,3,2022-04-01,2022-03-31,False,False,False,,,,,,,,,True,False,
1586495,,,7372,Services-Prepackaged Software,Leet Technology Inc.,Blow & Drive Interlock Corp; Jam Run Acquisition Corp,,,1,2022-12-15,2022-12-15,False,False,False,Leet Inc,,,,,,,,False,False,
1744179,,,,,"Oaktree Strategic Income II, Inc.",,2022-09-15,425,4,2023-01-20,2023-01-20,True,False,False,,,,,,,,,False,False,
1853314,,,6770,Blank Checks,Gesher I Acquisition Corp.,,2022-06-01,425,1,2023-01-25,2023-01-25,True,True,False,Companies,GIAC,GIAC,,,,10.26,,True,True,
1483510,,,5600,Retail-Apparel & Accessory Stores,"EXP OldCo Winddown, Inc.","EXPRESS, INC.; EXPRESS PARENT LLC",2010-08-05,S-4,13,2022-06-09,2022-06-08,False,False,False,,EXPR,EXPR,,,,,,False,False,
1941536,"BAER,BAERW","Nasdaq,Nasdaq",7389,"Services-Business Services, NEC","Bridger Aerospace Group Holdings, Inc.","Wildfire New PubCo, Inc.",2022-08-08,425,0,,,True,False,True,,,BAER,,,,10.0,,True,True,
